Job Title,Job URL,Company Name,Compnay URL,Exp,Salary,Location,Skills,Posted
Web Development/Data Science Trainee,https://www.naukri.com/job-listings-web-development-data-science-trainee-musubi-management-private-limited-bangalore-bengaluru-0-to-0-years-110621002643?src=jobsearchDesk&sid=16233957827611842&xp=1&px=1,Musubi Management Private Limited,https://www.naukri.com/musubi-management-jobs-careers-4679350,0-0 Yrs,"3,50,000 - 6,00,000 PA.",Bangalore,Data Science|Web Development|IT Skills|Python|Web Technologies,Just Now
Machine Learning/Data Science Engineer,https://www.naukri.com/job-listings-machine-learning-data-science-engineer-4onlinemedia-bangalore-bengaluru-0-to-5-years-090621000561?src=jobsearchDesk&sid=16233957827611842&xp=2&px=1,4ONLINEMEDIA,https://www.naukri.com/4onlinemedia-jobs-careers-5976228,0-5 Yrs,"3,00,000 - 5,00,000 PA.",Bangalore,Python|analytical|Data science|Tableau|machine learning|Deep learning|IT Skills,
Data Science Analyst-Cyber Security Analyst-Navi Mumbai,https://www.naukri.com/job-listings-data-science-analyst-cyber-security-analyst-navi-mumbai-zingo-techservices-llp-navi-mumbai-pune-mumbai-all-areas-0-to-3-years-090621001986?src=jobsearchDesk&sid=16233957827611842&xp=3&px=1,ZINGO TECHSERVICES LLP,https://www.naukri.com/zingo-techservices-jobs-careers-3222814,0-3 Yrs,Not disclosed,Mumbai,Analytical|Security Analysis|Ethical Hacking|Cyber Security|Forensic|Vulnerability|Security,2 Days Ago
Data Science Analyst-Cyber Security Analyst-Navi Mumbai,https://www.naukri.com/job-listings-data-science-analyst-cyber-security-analyst-navi-mumbai-zingo-techservices-llp-navi-mumbai-pune-mumbai-all-areas-0-to-3-years-090621001802?src=jobsearchDesk&sid=16233957827611842&xp=4&px=1,ZINGO TECHSERVICES LLP,https://www.naukri.com/zingo-techservices-jobs-careers-3222814,0-3 Yrs,"50,000 - 1,00,000 PA.",Mumbai,Analytical|Security Analysis|Ethical Hacking|Cyber Security|Forensic|Vulnerability|Security,2 Days Ago
Urgently hiring For Data science Analysts - Pune - 4+ Yrs,https://www.naukri.com/job-listings-urgently-hiring-for-data-science-analysts-pune-4-yrs-fis-global-business-solutions-india-pvt-ltd-nagpur-pune-mumbai-all-areas-4-to-9-years-100621007401?src=jobsearchDesk&sid=16233957827611842&xp=5&px=1,FIS Global Business Solutions India Pvt. Ltd.,https://www.naukri.com/fis-global-business-solutions-india-jobs-careers-19934,4-9 Yrs,"5,00,000 - 15,00,000 PA.",Mumbai,Data Science|R|SAS|Artificial Intelligence|Statistical Modeling|Data Analysis|Data Visualization|Machine Learning,1 Day Ago
Data Science Analyst,https://www.naukri.com/job-listings-data-science-analyst-j-p-morgan-services-india-private-limited-mumbai-bangalore-bengaluru-4-to-9-years-090621904294?src=jobsearchDesk&sid=16233957827611842&xp=6&px=1,JPMorgan Services India Pvt. Ltd,https://www.naukri.com/jpmorgan-services-india-jobs-careers-183700,4-9 Yrs,Not disclosed,"Mumbai, Bangalore",Data Science|R|Artificial Intelligence|Exploratory Analysis|Marketing Analytics|Machine Learning|Deep Learning|Python,1 Day Ago
Freshers- Data Science/ Business Analytics,https://www.naukri.com/job-listings-freshers-data-science-business-analytics-matplat-hyderabad-secunderabad-0-to-5-years-110621000477?src=jobsearchDesk&sid=16233957827611842&xp=7&px=1,MATPLAT,https://www.naukri.com/matplat-jobs-careers-4348088,0-5 Yrs,"3,00,000 - 5,00,000 PA.",Hyderabad,data management|communication|analytical|Analysis|Artificial Intelligence|Data Analysis|Machine Learning|Analytics,
Senior Associate Director - Data Science - Insurance - IIT/IIM,https://www.naukri.com/job-listings-senior-associate-director-data-science-insurance-iit-iim-huquo-consulting-pvt-ltd-gurgaon-gurugram-7-to-12-years-230321900094?src=jobsearchDesk&sid=16233957827611842&xp=8&px=1,Huquo Consulting Pvt. Ltd,https://www.naukri.com/premium-jobs-careers-852658,7-12 Yrs,Not disclosed,Gurgaon,IT Skills|Python|Data Science|Machine Learning|Project Management|BPO|project management|Data Engineering,1 Day Ago
Business Consultant - Data Science,https://www.naukri.com/job-listings-business-consultant-data-science-remah-it-kolkata-mumbai-hyderabad-secunderabad-bangalore-bengaluru-10-to-18-years-020421906658?src=jobsearchDesk&sid=16233957827611842&xp=9&px=1,Remah IT,https://www.naukri.com/premium-jobs-jobs-careers-678662,10-18 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad, Bangalore",Data Science|Azure|Data Architect|Google Cloud Platform|Cloud|Snowflake DB|AWS,1 Day Ago
Data Science Engineer,https://www.naukri.com/job-listings-data-science-engineer-ibm-india-pvt-limited-bangalore-bengaluru-6-to-10-years-090621907161?src=jobsearchDesk&sid=16233957827611842&xp=10&px=1,IBM India Pvt. Limited,https://www.naukri.com/ibm-india-jobs-careers-16987,6-10 Yrs,Not disclosed,Bangalore,MLlib|Kubernetes|agile|WEKA|Java|NumPy|Excel|R,1 Day Ago
